院校,专业名,类别,选科要求,计划数
中国计量大学,电子信息工程,普通类提前录取,物理、化学,3
中国计量大学,通信工程,普通类提前录取,物理、化学,3
中国计量大学,计算机科学与技术,普通类提前录取,物理、化学,5
中国计量大学,人工智能,普通类提前录取,物理、化学,5
中国计量大学,光电信息科学与工程,普通类提前录取,物理、化学,25
中国计量大学,电子科学与技术,普通类提前录取,物理、化学,15
中国计量大学,功能材料,普通类提前录取,物理、化学,10
中国计量大学,材料科学与工程,普通类提前录取,物理、化学,10
中国计量大学,应用化学,普通类提前录取,物理、化学,5
中国计量大学,能源与动力工程,普通类提前录取,物理、化学,10
中国计量大学,安全工程,普通类提前录取,物理、化学,10
中国计量大学,环境工程,普通类提前录取,物理、化学,6
中国计量大学,信息管理与信息系统,普通类提前录取,物理,15
中国计量大学,数学与应用数学,普通类提前录取,物理、化学,10
中国计量大学,应用物理学,普通类提前录取,物理、化学,8
中国计量大学,声学,普通类提前录取,物理、化学,5
中国计量大学,食品质量与安全,普通类提前录取,物理、化学,10
中国计量大学,生物工程,普通类提前录取,物理、化学,15
中国计量大学,工业设计,普通类提前录取,物理、化学,10
中国计量大学,标准化工程,普通类提前录取,物理,15
中国计量大学,质量管理工程,普通类提前录取,物理,20
中国计量大学,工业工程,普通类提前录取,物理,5
浙江万里学院,日语,文学,,15
浙江万里学院,电子商务,管理学,,10
浙江万里学院,金融工程,经济学,物理,10
浙江万里学院,电子信息工程,工学,物理、化学,10
浙江万里学院,生物技术,理学,物理、化学,15
浙江万里学院,生物工程类,工学,物理、化学,25
浙江万里学院,环境科学与工程类,工学,物理、化学,25
浙江万里学院,食品质量与安全,工学,物理、化学,10
浙江万里学院,食品营养与健康,工学,物理、化学,10
浙江万里学院,网络空间安全,工学,物理、化学,10
浙江万里学院,智能影像工程,工学,物理、化学,10
浙江万里学院,电气工程及其自动化,工学,物理、化学,15
浙江万里学院,机械电子工程,工学,物理、化学,15
浙江万里学院,物流管理,管理学,,40
浙江万里学院,艺术与科技(中外合作办学),艺术学,,40
浙江万里学院,广告学(中外合作办学),文学,,45
浙江万里学院,视觉传达设计(中外合作办学),艺术学,,45
浙江科技大学,车辆工程(实验班),工学,物理、化学,30
浙江科技大学,环境工程,工学,物理、化学,10
浙江科技大学,工业设计,工学,物理、化学,20
浙江科技大学,机械类(中德联合培养),工学,物理、化学,30
浙江科技大学,电气类(中德联合培养),工学,物理、化学,20
浙江科技大学,土木类(中德联合培养),工学,物理、化学,10
浙江科技大学,机器人工程(中澳联合培养),工学,物理、化学,30
浙江科技大学,国际商务(中澳联合培养),管理学,,30
浙江科技大学,经济学(中美合作办学),经济学,,40
浙江科技大学,德语,文学,,20
浙江财经大学,财政学类（财政学、税收学、国际税收）,A组,,10
浙江财经大学,公共管理类（劳动与社会保障、土地资源管理、行政管理）,A组,,10
浙江财经大学,城乡规划,A组,,5
浙江财经大学,会计学,A组,,5
浙江财经大学,财务管理,A组,,5
浙江财经大学,审计学,A组,,5
浙江财经大学,金融学,A组,,5
浙江财经大学,投资学,A组,,10
浙江财经大学,工商管理类（工商管理、人力资源管理、市场营销、供应链管理）,A组,,10
浙江财经大学,电子商务,A组,,10
浙江财经大学,经济学,A组,,10
浙江财经大学,国际经济与贸易（含数字贸易方向）,A组,,10
浙江财经大学,法学,A组,,5
浙江财经大学,社会工作,A组,,10
浙江财经大学,外国语言文学类（英语、商务英语）,A组,,10
浙江财经大学,汉语言文学,A组,,5
浙江财经大学,新闻传播学类（广告学、网络与新媒体）,A组,,10
浙江财经大学,金融工程,B组,物理,15
浙江财经大学,数字经济,B组,物理,15
浙江财经大学,工程管理,B组,物理,20
浙江财经大学,信息管理与信息系统,B组,物理,15
浙江财经大学,计算机类（人工智能、软件工程、计算机科学与技术）,B组,物理、化学,20
浙江财经大学,应用统计学,B组,物理、化学,15
浙江财经大学,数据科学与大数据技术,B组,物理、化学,10
浙江财经大学,经济统计学,B组,物理,15
浙江财经大学,金融数学,B组,物理,20
浙江财经大学,金融科技,B组,物理,20
浙江财经大学,金融工程（金融科创）,B组,物理,10
浙江财经大学,会计学(中外合作办学),C组,,30
浙江财经大学,金融学(中外合作办学),C组,,30
浙江财经大学,市场营销(中外合作办学),C组,,30
嘉兴大学,人力资源管理,管理学,,10
嘉兴大学,跨境电子商务,经济学,,10
嘉兴大学,英语,文学,,10
嘉兴大学,服装设计与工程,工学,,10
嘉兴大学,金融数学,经济学,物理,10
嘉兴大学,工程管理,管理学,物理,10
嘉兴大学,数学与应用数学,理学,物理、化学,10
嘉兴大学,应用统计学,理学,物理、化学,10
嘉兴大学,临床医学,医学,物理、化学,10
嘉兴大学,麻醉学,医学,物理、化学,10
嘉兴大学,药学,医学,物理、化学,10
